Team.A,team_color
Montreal Wanderers,grey
Toronto Arenas,grey
Ottawa Senators,#000000
Montreal Canadiens,#AF1E2D
Toronto St. Patricks,grey
Quebec Athletic Club/Bulldogs,grey
Hamilton Tigers,grey
Boston Bruins,grey
Montreal Maroons,grey
Pittsburgh Pirates,grey
New York Americans,grey
New York Rangers,grey
Chicago Black Hawks,grey
Toronto Maple Leafs,#00205B
Detroit Cougars,grey
Philadelphia Quakers,grey
Detroit Falcons,grey
Detroit Red Wings,grey
St. Louis Eagles,grey
Brooklyn Americans,grey
Oakland Seals,grey
Philadelphia Flyers,grey
Pittsburgh Penguins,grey
St. Louis Blues,grey
Minnesota North Stars,grey
Los Angeles Kings,grey
Vancouver Canucks,#00843D
California Golden Seals,grey
Buffalo Sabres,grey
New York Islanders,grey
Atlanta Flames,grey
Washington Capitals,grey
Kansas City Scouts,grey
Colorado Rockies,grey
Cleveland Barons,grey
Edmonton Oilers,#FF4C00
Quebec Nordiques,grey
Winnipeg Jets,#041E42
Hartford Whalers,grey
Calgary Flames,#F1BE48
New Jersey Devils,grey
Chicago Blackhawks,grey
San Jose Sharks,grey
Tampa Bay Lightning,grey
Dallas Stars,grey
Florida Panthers,grey
Mighty Ducks of Anaheim,grey
Colorado Avalanche,grey
Phoenix Coyotes,grey
Carolina Hurricanes,grey
Nashville Predators,grey
Atlanta Thrashers,grey
Minnesota Wild,grey
Columbus Blue Jackets,grey
Anaheim Ducks,grey
Arizona Coyotes,grey
Vegas Golden Knights,grey
